year,site,month,mean_dayl_s_Mar,mean_srad_w_m_2_Mar,mean_tmax_deg_c_Mar,mean_tmin_deg_c_Mar,mean_vp_pa_Mar,sum_prcp_mm_day_Mar,mean_dayl_s_Apr,mean_srad_w_m_2_Apr,mean_tmax_deg_c_Apr,mean_tmin_deg_c_Apr,mean_vp_pa_Apr,sum_prcp_mm_day_Apr,mean_dayl_s_May,mean_srad_w_m_2_May,mean_tmax_deg_c_May,mean_tmin_deg_c_May,mean_vp_pa_May,sum_prcp_mm_day_May,mean_dayl_s_Jun,mean_srad_w_m_2_Jun,mean_tmax_deg_c_Jun,mean_tmin_deg_c_Jun,mean_vp_pa_Jun,sum_prcp_mm_day_Jun,mean_dayl_s_Jul,mean_srad_w_m_2_Jul,mean_tmax_deg_c_Jul,mean_tmin_deg_c_Jul,mean_vp_pa_Jul,sum_prcp_mm_day_Jul,mean_dayl_s_Aug,mean_srad_w_m_2_Aug,mean_tmax_deg_c_Aug,mean_tmin_deg_c_Aug,mean_vp_pa_Aug,sum_prcp_mm_day_Aug,mean_dayl_s_Sep,mean_srad_w_m_2_Sep,mean_tmax_deg_c_Sep,mean_tmin_deg_c_Sep,mean_vp_pa_Sep,sum_prcp_mm_day_Sep,mean_dayl_s_Oct,mean_srad_w_m_2_Oct,mean_tmax_deg_c_Oct,mean_tmin_deg_c_Oct,mean_vp_pa_Oct,sum_prcp_mm_day_Oct
2014,DEH1,3,42277.6,330.5,10.4,-0.6,615,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,DEH1,4,NA,NA,NA,NA,NA,NA,46903,389.5,17,6,959.2,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,DEH1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50799,405.9,23.7,12.6,1483.5,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,DEH1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52759.8,395.1,28,17.2,1993.7,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,DEH1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51835.2,369.6,29,19.1,2237.6,151.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,DEH1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48447.4,382.6,27.9,17.7,2044.1,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,DEH1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43969.6,319.5,26.2,16.4,1911.8,131.5,NA,NA,NA,NA,NA,NA
2014,DEH1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39354.3,275.6,21,10.8,1338.6,67.01
2014,GAH1,3,42494,373.2,19.2,5.8,943.2,146.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,GAH1,4,NA,NA,NA,NA,NA,NA,46031.2,381.8,24.2,11.5,1395.7,245.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,GAH1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48987.4,430.5,29.4,16.3,1879.6,136.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,GAH1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50459.1,381.3,32.4,20.9,2476.6,65.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,GAH1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49766.8,380.9,32.7,21.3,2545.9,63.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,GAH1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47207.1,389.6,33.6,21.3,2507,77.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,GAH1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43789.1,298.2,29.6,20.1,2372.7,159.1,NA,NA,NA,NA,NA,NA
2014,GAH1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40260,373.8,26.3,12.3,1475.5,76.09
2014,IAH1,3,42162.1,377.7,5,-7.1,350.7,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH1,4,NA,NA,NA,NA,NA,NA,47369.8,377.3,15.1,1.6,650.4,171.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51779.2,398.6,22.5,9.4,1239.9,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54014.8,363.3,26.5,15.5,1777.4,256.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52958.9,402.6,26,14.7,1696.6,82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49113.8,322.6,26.8,17,1955,206.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44066,335,22.5,10.5,1312.1,128.1,NA,NA,NA,NA,NA,NA
2014,IAH1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38869,268.4,16.8,4.4,857.4,88.51
2014,IAH2,3,42157.9,386.5,5.5,-7.7,285,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH2,4,NA,NA,NA,NA,NA,NA,47386.8,362.4,15,1,562.5,93.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,IAH2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51815,401.9,22.6,8.9,1160.3,107.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
